Category,Product,Code,Supplier,UnitCost,UnitPrice,Inventory_Dapa
frames,Frame 26 - Ferrari 16in Rd,10064,Avenue Bikes,3000,5300,100000
frames,Frame - 26 Ferrari 15in Red,10141,Avenue Bikes,3000,5300,100000
frames,Frame 26 - Scott 16in,81385,Avenue Bikes,3000,4200,100000
freewheel,Freewheel 11s XT cs-m800,81477,Avenue Bikes,3000,3700,100000
accessories,Bike 24 - City/Ladies Kent,40101,Kent,2950,5900,100000
shifter,Shifter XT 11s SL-M800,81479,Avenue Bikes,2850,3900,100000
derailleur,Rear Derailleur XT m8000,81478,Avenue Bikes,2800,3800,100000
forks,Fork 26 Rockshox -,40004,Avenue Bikes,2800,3800,100000
bikes,Bike 20 - Ladies Kent,40100,Kent,2650,5300,100000
bikes,Bike 24 - Ladies Bike Daisy,81187,Avenue Bikes,2650,5300,100000
chainwheel,Crankset - Deore M615 2x10,81415,Avenue Bikes,2650,3900,100000
bikes,Bike 20 - Strider Blazer,81267,Avenue Bikes,2600,5100,100000
chainwheel,Crankset - Deore M590 (Hollowtech),15013,Avenue Bikes,2500,3600,100000
derailleur,Rear Derailleur SLX 11s RD-M7000,40104,Kent,2500,3500,100000
forks,Fork 29 - Blaze with lockout,81286,Kent,2500,3650,100000
forks,Fork 27.5 RST Blaze Gila,81336,Kent,2500,4100,100000
frames,Frame - 26 Diamond Back Scorpion,10066,CHN,2500,4375,100000
bikes,Bike 20 - Ladies Daisy,81200,Avenue Bikes,2450,4800,100000
bikes,Bike 26 - Reko MTB DW,81330,Avenue Bikes,2400,4800,100000
bikes,Bike 20 - Rekko Dirt Master CP,81609,Avenue Bikes,2400,4800,100000
bikes,Bike 20 - Blackstar,81751,Avenue Bikes,2350,4700,100000
bikes,Bike 26 - Pathfinder mtb DW,70016,Avenue Bikes,2300,4025,100000
bikes,Bike 20 - Swift,81750,Avenue Bikes,2300,4600,100000
forks,Fork 26 - ZOOM Big Tube,81686,Avenue Bikes,2300,4000,100000
bikes,Bike 26 - Hyspeed DW mtb,81237,Avenue Bikes,2250,4500,100000
bikes,Bike 20 - Kronos Kickass,81266,Avenue Bikes,2250,4500,100000
bikes,Bike 26 - Reko MTB Ord,81331,Avenue Bikes,2250,4500,100000
Kent,Hub - Calum F/R Hub 9t Big Axle,81746,Kent,2250,2950,100000
accessories,Hub - Governor F&R 32 Hole,40031,Avenue Bikes,2200,3200,100000
bikes,Bike 16 - Kids Barbie/Princess (Class A),15026,Avenue Bikes,2200,4400,100000
frames,Frame 26 - Wayland Alloy,10075,,2200,3800,100000
frames,Frame 26 - Wayland Alloy,10077,,2200,3800,100000
frames,Frame 26 - Wayland Alloy,10078,,2200,3800,100000
frames,Frame 26 - Wayland Alloy,10079,,2200,3800,100000
frames,Frame 26 - Wayland Alloy,10080,,2200,3800,100000
frames,Frame 26 - Wayland Alloy,10084,,2200,3800,100000
frames,Frame 26 - Wayland Alloy,10085,,2200,3800,100000
frames,Frame 26 - Wayland Alloy,10086,,2200,3800,100000
frames,Frame 26 - Wayland Alloy,15006,,2200,3800,100000
hubs,Hub - F&R Governor 36H Sealed,81393,Avenue Bikes,2200,3200,100000
bikes,Bike 26 - Pathfinder mtb Ord,70017,Avenue Bikes,2150,4100,100000
bikes,Bike 14 - Barbie 2,81232,Avenue Bikes,2150,4300,100000
bikes,Bike 20 - Reko MTB,81367,Avenue Bikes,2150,4300,100000
bikes,Bike 26 - Hyspeed MTB Ord,81438,Avenue Bikes,2150,4300,100000
bikes,Bike 20 - RAVE BMX,81765,Kent,2150,4300,100000
forks,Fork 26 XCM w/ Lockout,81087,Avenue Bikes,2150,3500,100000
bikes,Bike 14 -Kids Barbie/Princess (Class A),10397,Avenue Bikes,2100,4200,100000
bikes,Bike 16 - Frozen NEW Class A,81717,Avenue Bikes,2100,4200,100000
bikes,Electric Car 4 Wheels,81754,Kent,2100,3900,100000
forks,Fork 26 STR Downhill,30002,Kent,2100,2500,100000
frames,Frame 26 Wayland 16in Rd,10061,Avenue Bikes,2100,3690,100000
frames,Frame 26 Wayland 14in Rd,10062,Avenue Bikes,2100,3690,100000
frames,Frame 26 Wayland 14in Blk,10063,Avenue Bikes,2100,3690,100000
frames,Frame 26 Wayland 15in Rd,10139,Avenue Bikes,2100,3690,100000
frames,Frame 26 - Trek,81384,Avenue Bikes,2100,3100,100000
bikes,Bike 20 - Fastlane MTB (dw Rim),10218,,2050,3200,100000
bikes,Bike 20 - REKO DIRT RIDER,40149,Avenue Bikes,2050,4100,100000
parts,Crank - 3 Piece Crank Catcher,150091,,2050,3500,100000
bikes,Bike 16 - Q7,40068,Avenue Bikes,2000,4000,100000
bikes,Bike 16 - Lady Dragon,40071,Avenue Bikes,2000,4000,100000
bikes,Bike 14 - Frozen NEW Class A,81716,Avenue Bikes,2000,4000,100000
forks,Fork 26 Zoom suspension with lockout,10467,,2000,3500,100000
frames,Frame - 20 Reko Alloy w/Fork,15004,,2000,3400,100000
frames,Frame - 16 Reko Alloy w/Fork,15005,,2000,3400,100000
hubs,Hub - R/F hub Novatech A171SB Road 32H,40055,CHN,2000,3500,100000
accessories,helmet giant green,16012,,1950,2500,100000
Axle,Crank - BMX 3-Piece PRO XX,81525,Kent,1950,2900,100000
bikes,Bike 14 - Lady Dragon,40072,Avenue Bikes,1950,3800,100000
bikes,Bike 20 - Reko Dirt Jumper,81160,Avenue Bikes,1950,3900,100000
brakes,Disc Brake - Set (Logan) w Hub,30012,Kent,1950,3400,100000
brakes,Disc Brake - Shimano 355 Hyd Disk no rotor,81094,Kent,1950,2800,100000
brakes,Disc Brake - Shimano 395 hyd no rotor,81573,Kent,1950,2800,100000
forks,Fork 27.5 - Zoom 5955AMS,81376,Avenue Bikes,1950,3500,100000
frames,Frame 26 Nakamura 15in,30005,Kent,1950,3412.5,100000
bikes,Bike 14 - Q7,40069,Avenue Bikes,1900,3800,100000
bikes,Bike 20 - Combat BMX,81471,Avenue Bikes,1900,3800,100000
bikes,Bike 12 - Electric Car rechargable 3 wheels,81508,Kent,1900,3600,100000
bikes,Bike 20 - xGame Rejuvenation,81608,Avenue Bikes,1900,3800,100000
brakes,Disc Brake - Rotor set w/Caliper tektro mtb,10347,,1900,2850,100000
forks,Fork 26 Rigid Mosso OS,10221,,1900,3200,100000
frames,Frame - 26 DiamondBack,10065,CHN,1900,3325,100000
freewheel,Freewheel 9s satin finish,10173,,1900,3250,100000
bikes,BIke 12 - Lady Dragon,40073,Avenue Bikes,1850,3600,100000
bikes,Bike 16 - Tommy Star,40113,Avenue Bikes,1850,3700,100000
frames,Frame 20,81526,Kent,1850,3200,100000
frames,Frame 20,81527,Kent,1850,3200,100000
bikes,Bike 16 - Minutos,40018,Kent,1800,3350,100000
bikes,Bike 12 - Q7,40070,Avenue Bikes,1800,3600,100000
bikes,Bike 14 - Tommy Star,40112,Avenue Bikes,1800,3600,100000
misc,Fork -700C Road Fixed Gear carbonFork,81853,CHN,1800,3200,100000
handle bar,AERONOVA Carbon Road Handle Dropbar Red 440mm,81866,CHN,1790,3580,100000
chainwheel,Crankset - Freezone 3-piece Oil Slick,40124,Avenue Bikes,1750,2800,100000
frames,Frame 26 - Strider Alloy,81387,Avenue Bikes,1750,2800,100000
bikes,Bike 16 - Kids Rocket Force,10355,,1700,2650,100000
bikes,Bike 16 - Maverick,40167,Kent,1700,3400,100000
hubs,Hub - F-R SunRace Disk ready (36h),10171,,1700,2890,100000
bikes,Bike 12 - Minutos,40017,Kent,1650,3150,100000
bikes,Bike 16 - Power Ranger,40116,Avenue Bikes,1650,3300,100000
bikes,Bike 16 - Fireball,40166,Kent,1650,3300,100000
bikes,Bike 12 - Cinderella,81370,Kent,1650,3300,100000
bikes,Bike 16 - Combat BMX,81476,Avenue Bikes,1650,3300,100000
forks,Fork 26 Rigid BlackComb,81768,Kent,1650,3000,100000
hubs,Hub BLACKCOMP sealed 36H,81501,Kent,1650,3000,100000
bikes,Bike 20 - Bullet BMX,81051,Kent,1600,3200,100000
bikes,Bike 20 - Reko Slayer BMX,81475,Avenue Bikes,1600,3800,100000
derailleur,Rear Derailleur - SLX 10s M670,81236,Avenue Bikes,1600,2400,100000
derailleur,Rear Derailleur - Deore RD-M615 10s,81555,,1600,2450,100000
forks,Fork 27.5 - Suntour XCT,81687,Avenue Bikes,1600,2900,100000
accessories,Bike Computer - PADRONE PA100W,81769,Kent,1580,2250,100000
accessories,Bag - Local Lion w/hydration,81645,CHN,1550,2750,100000
bikes,Bike 14 - Power Ranger,40115,Avenue Bikes,1550,3100,100000
bikes,Bike 16 - Crossride,40165,Kent,1550,3100,100000
accessories,Saddle - Carbon Fiber SAN MARCOS,40174,,1500,3000,100000
accessories,Helmet - Adult Moon,81260,CHN,1500,2200,100000
bikes,Bike 16 - DORA NEW Class A,81715,Avenue Bikes,1500,3000,100000
chain,Chain 116L YBN TI (9 speed),10176,,1500,2650,100000
forks,Daily Sales,81161,Avenue Bikes,1500,2500,100000
frames,Frame 20 - Storm Spinner,81544,Avenue Bikes,1500,2900,100000
shifter,Shifter 10s Shimano SLX SL-M670,81150,Kent,1500,2500,100000
tires,Tire 700 x 23c Cotinental GrandPrix,40176,Kent,1500,2650,100000
tires,Tire 700 x 23c Continental GrandPrix,40177,Kent,1500,2650,100000
hubs,Hub - KRONOS Sealed F and R,40118,Avenue Bikes,1495,2200,100000
misc,Helmet - Cairbull Road Helmet,81819,CHN,1475,2500,100000
parts,Sprocket Cassette - KRONOS 11s (11-50T),40129,Avenue Bikes,1473,1900,100000
bikes,Bike 16 - Kids X-Game,10215,Avenue Bikes,1450,2900,100000
bikes,Bike 16 - HULK,15028,Avenue Bikes,1450,2900,100000
bikes,Bike 12 - Maverick,40019,Kent,1450,3250,100000
bikes,Bike 12 - Power Ranger,40114,Avenue Bikes,1450,2900,100000
bikes,Bike 12 - Fireball,40164,Kent,1450,2900,100000
bikes,Bike 16 - Dragon Ball Class A,81452,Avenue Bikes,1450,2900,100000
forks,Fork 26 - RST Gila Blaze,81335,Kent,1450,2650,100000
brakes,Disc Brake - Shimano Set with caliper,10020,Avenue Bikes,1440,2500,100000
bikes,Bike 16 - Dog Mouse,40229,Avenue Bikes,1400,2800,100000
bikes,Bike 16 - Kids Street Racer,81589,Avenue Bikes,1400,2800,100000
brakes,Brake - Hyd Disc Shimano non-series,81719,,1400,2450,100000
chain,Chain Dura Ace 11s,81162,Avenue Bikes,1400,2100,100000
derailleur,Rear Derailleur - Shimano Deore LX 10s RD-M581,81108,Kent,1400,2100,100000
derailleur,Rear Derailleur - Deore LX 9s RD-M581,81456,Kent,1400,2500,100000
derailleur,Rear Derailleur - Shimano deore LX 10S RD-M615,81649,Kent,1400,2000,100000
forks,Fork 26 - Suntour XCM without lockout,10168,,1400,2600,100000
bikes,Bike 14 - Kids Ben 10 class A,10414,,1380,2500,100000
misc,rim Storm 26 dh-002 BLK,15015,Avenue Bikes,1375,2400,100000
rims,rim 26 storm DH-002 blk alloy,15037,,1375,2500,100000
accessories,Bike Computer - VELO Wireless VT-230W,81770,Kent,1350,1930,100000
bikes,Bike 14 - Kids X-Game,10362,Avenue Bikes,1350,2700,100000
bikes,Bike 16 - Ben 10 Class A,81366,Avenue Bikes,1350,2700,100000
bikes,Bike 16 - Kids Trolls,81588,Avenue Bikes,1350,2700,100000
bikes,Bike 16 NVH Firefox BMX,81749,Avenue Bikes,1350,2700,100000
handle bar,AERONOVA Handle Dropbar 420mm Silver Gloss,81868,CHN,1350,2700,100000
hubs,Hub - Deore 9s M618 F&R For Disc brake,81082,Kent,1320,2200,100000
bikes,Bike 12 - Kids Dragon Ball,81188,Avenue Bikes,1300,2600,100000
bikes,Bike 16 - Dora/FrozenPrincess,81214,Kent,1300,2600,100000
bikes,Bike 16 - Spider/Batman/Ben 10,81264,Kent,1300,2600,100000
derailleur,Rear Derailleur microshift Marvo LE 9s,16022,,1300,1900,100000
forks,Fork 26 Suspension Suntour O/S,40158,Kent,1300,2350,100000
hubs,Hub F&R - Strider Scorpion - Disk,15033,Avenue Bikes,1300,2275,100000
shifter,Shifter Deore 9s with Lever,81083,Avenue Bikes,1300,2000,100000
head,Globe Broadband Rental,81441,,1299,1500,100000
hubs,Hub - Shimano R/F (disc ready) m4050,81145,Avenue Bikes,1280,2000,100000
bikes,Bike 12 - Kids X-Game,10022,Avenue Bikes,1250,2500,100000
bikes,Bike 14 - Kids Dragon Ball,81189,Avenue Bikes,1250,2500,100000
bikes,Bike 14 - Dora Girls Bike,81222,Kent,1250,2500,100000
bikes,Bike 14 - Ben 10/Batman/Spider,81310,Kent,1250,2500,100000
bikes,Bike 12 - Striker kids.,81360,Kent,1250,2250,100000
bikes,Bike 14 - Kids Street Racer,81587,Avenue Bikes,1250,2500,100000
bikes,Bike 14 - Cars,81699,Avenue Bikes,1250,2500,100000
brakes,Rotor Only Rt86 203mm bolt,81474,Avenue Bikes,1250,2200,100000
chain,Chain 116L YBN (9 Speed SS),10177,,1250,2150,100000
forks,Fork 26 Suspension Zoom O/S,20048,Kent,1250,2300,100000
chainwheel,Crankset Shimano Octalink (M442 w/BB),10056,Kent,1235,2000,100000
seat post,Seat Post - FIBRE Carbon Fiber 27.2mm,40245,CHN,1230,2460,100000
seat post,Seat Post - FIBRE Carbon Fiber 30.8mm,40246,CHN,1230,2460,100000
seat post,Seat Post - FIBRE Carbon Fiber 31.6mm,40247,CHN,1230,2460,100000
chain,Chain 11s Taya Onze Ti Gold,81219,Kent,1225,1950,100000
accessories,Jersey Set LadiesTinkoff,81484,CHN,1200,2300,100000
bikes,Bike 12 - Tommy Star,40111,Avenue Bikes,1200,2600,100000
bikes,Bike 12 - Spider/Superman,81271,Kent,1200,2400,100000
bikes,Bike 12 - Dora/Frozen Princess,81284,Kent,1200,2400,100000
bikes,Bike 12 - Kids Street Racer,81585,Avenue Bikes,1200,2400,100000
bikes,Bike 14 - Kids Trolls,81586,Avenue Bikes,1200,2400,100000
chainwheel,CrankSet Truvativ H-Force,10434,,1200,1860,100000
chainwheel,CrankSet FC-M431 Oct Alivio,10443,,1200,2100,100000
derailleur,Front Derailleur XT m8000,81481,Avenue Bikes,1200,1700,100000
frames,Frame 20 - Strider OS,81546,Inson Cycles,1200,2100,100000
hubs,Hub - Shimano M525 6 bolt,81455,Kent,1180,2200,100000
shifter,Shifterc- Deore SL-M610 10s,16008,,1180,2050,100000
bikes,Side Car 16,81753,Kent,1165,2160,100000
accessories,Jersey Set Trek short/Shirt,81483,CHN,1150,2300,100000
bikes,Bike 12 - Trolls Kids,81584,Avenue Bikes,1150,2300,100000
chain,Chain Shimano 11s HG-701,40191,Avenue Bikes,1150,1725,100000
derailleur,Rear Derailleur - Deore 9s RD-M530,81039,,1150,1950,100000
rims,Rim 26 - STORM thin Alpha 28,81669,Avenue Bikes,1150,1800,100000
rims,Rim 26 - STORM wide Challenger 33,81670,Avenue Bikes,1150,1800,100000
derailleur,Rear Derailler - Alivio 9s,70019,Kent,1130,1650,100000
bikes,Bike 12 - NVH JR Toys,81748,Avenue Bikes,1120,2400,100000
tires,Tire 29 - Continental Folding,81556,Kent,1105,1700,100000
accessories,Stem (ahead) Strider 50mm Blk Ornate,40036,,1100,1500,100000
chainwheel,CrankSet FC-M391 ACERA Octalink,10345,Avenue Bikes,1100,1870,100000
forks,Fork 26 Zoom with lockout wht and blk,10169,Avenue Bikes,1100,2200,100000
forks,Fork 20 Catcher Alloy,81032,,1100,1600,100000
shifter,Shifter - Shimano Alivio 9s Shifter (wala lever),81053,Kent,1100,1700,100000
tires,Tire 700 x 23c Continental Ultrasport,40214,Kent,1100,2200,100000
freewheel,Freewheel 10s Cassette - Shimano HG-50,81128,Kent,1080,1750,100000
pedal,Pedal 9/16 clip Shimano P505,81235,Avenue Bikes,1080,1750,100000
tires,Tire 700 x 25c Continental Grand Sport,81736,Kent,1080,1480,100000
tires,Tire 700 x 23c Continental Grand Sport,81743,Kent,1080,1480,100000
misc,Helmet - INBIKE,81818,CHN,1072,2050,100000
bikes,Bike 14 - Chip N Dale (assorted colors),10087,Avenue Bikes,1050,2145,100000
pedal,Pedal 9/16 Cleat Shimano PD324,81230,Kent,1050,1500,100000
Watches,Watch-Smart Wristband Heart Rate Android,81461,CHN,1050,1550,100000
pedal,Pedal 9/16 - WELLGO R251 Road,81741,Kent,1025,1795,100000
handle post,Seat Post - AERONOVA Carbon fiber 30.8MM,81881,CHN,1020,2050,100000
head,Seat Post - AERONOVA Carbon Fiber 27.2mm,81879,CHN,1020,2000,100000
seat post,Seat Post - EARONOVA Carbon 30.8mm,81877,CHN,1020,2040,100000
seat post,Seat Post - AERONOVA Carbon Fiber 31.6mm,81878,CHN,1020,2100,100000
accessories,Saddle - Carbon Fiber SUPERLOGIC,40173,,1000,2000,100000
bikes,Kids Bike 14,10214,,1000,1750,100000
chain,Chain 11s XT HG-H11,81480,Avenue Bikes,1000,1500,100000
chain,Chain 116L YBN 9S Gold,81570,Kent,1000,1600,100000
handle bar,Handle Bar - Carbon RaceFace 670mm/700/720 (31.8),81133,,1000,2000,100000
Helmet,Helmet - KRONOS Adult Fuse,40089,Avenue Bikes,1000,1750,100000
Helmet,Helmet - Toker MTB (colors),81372,CHN,1000,1600,100000
hubs,Hub - F&R Strider Scorpion - vBrake,15034,Avenue Bikes,1000,1750,100000
pedal,Pedal 9/16in sealed #406,10219,,1000,1750,100000
tires,Tire 26 – Maxxis Crossmark m309 Kevlar,200003,Avenue Bikes,1000,1500,100000
misc,Helmet - WestBiking helmet,81825,CHN,960,1950,100000
accessories,Jersy Set SkyBrit Short/Shirt,81510,CHN,950,1950,100000
head,Headset - Tapered Conversion for FORME Frame,40067,Avenue Bikes,950,1300,100000
head,Headset - Strider Tapered,81398,Avenue Bikes,950,1600,100000
head,Headset - Strider Tapered Reducer 1.5,81399,Avenue Bikes,950,1500,100000
bikes,Side Car 12,81752,Kent,935,1800,100000
shifter,Shifter with Lever 9S Acera SL-M390,81539,Kent,920,1600,100000
chain,Chain 11s Taya Onze Silver,81218,Kent,915,1500,100000
brakes,XT Shimano Rotor only 160mm,81482,Avenue Bikes,900,1300,100000
frames,Frame 16 - Storm std,81545,Avenue Bikes,900,1600,100000
handle bar,Handle bar o/s blk/ white KRATOS,15021,Avenue Bikes,900,1500,100000
hubs,Hub Cassette/Disk 8/9s Shimano RM35,10508,,900,1450,100000
brakes,Shifter with Lever 9sp Shimano Altus,20037,Kent,880,1575,100000
chainwheel,Crankset - Alivio FC-M442 Octo,81541,Kent,880,1600,100000
shifter,Shimano Acera Shifter 9s (wala lever),81052,Kent,880,1500,100000
accessories,Cycle Shorts - Imported,81557,Kent,875,1400,100000
misc,Helmet - Miracle Road Helmet,81820,,850,1750,100000
misc,Bike computer -Westbiking wireless,81827,CHN,850,1750,100000
parts,parts for 3 piece crank,15010,,850,1500,100000
parts,BB - Hollowtech Threaded Storm,81430,Avenue Bikes,850,1400,100000
rims,Rim 27 - Strider 27.5 Disc Ready,81380,Avenue Bikes,850,1350,100000
parts,Sprocket Cassette - KRONOS 10s (11-42T),40128,Avenue Bikes,834,1200,100000
bottom bracket,BB Hollowtech Kratos,40223,Avenue Bikes,820,1475,100000
accessories,Seat Post - Carbon fiber 27.2 TIDEACE,40186,CHN,800,1500,100000
accessories,Cycling Shorts - Lycra Brand,81262,CHN,800,1500,100000
handle bar,Handle Bar - Carbon XRide 660mm,81132,,800,1500,100000
handle bar,Handle bar - FCFB Carbon 700mm DH or Straight,81592,CHN,800,1500,100000
Helmet,Helmet - KRONOS Adult Journey,40090,Avenue Bikes,800,1500,100000
chainwheel,Chainring - 32T KRONOS CNC Chainwheel,40130,Avenue Bikes,798,900,100000
parts,Chainring - 34T KRONOS CNC Chainwheel,40131,Avenue Bikes,798,900,100000
parts,Chainring - 36T KRONOS CNC Chainwheel,40132,Avenue Bikes,798,900,100000
Tools,IceToolz Chain Cutter - 62P2,81091,,785,0,100000
accessories,Jersey - Giant Imported Shirt only,81197,Kent,780,1370,100000
seat post,Seat Post 27.2 - Governor blk,81543,Avenue Bikes,780,1200,100000
misc,Light - Authomatic LED bike tail,81635,CHN,775,1450,100000
handle bar,Handle Bar - Strider OS 680/780mm,10185,Avenue Bikes,765,1350,100000
rims,Rim 27 - Strider Black 36hole disk ready,81391,Avenue Bikes,765,1250,100000
accessories,B-SOUL Hydration backpack,81638,CHN,750,1450,100000
accessories,Bag -RockBros underset Bicycle Bike Bag,81858,CHN,750,1875,100000
derailleur,Front Derailleur - SLX M670 / FD-M661-10,81153,Kent,750,1200,100000
derailleur,Front Deraillieur - Shimano FD-m670 (down pull),81454,Kent,750,1250,100000
freewheel,Sprocket - 9s Sunrace (CSM-91),81084,Avenue Bikes,750,1200,100000
handle bar,Handle Bar - Motto 700mm,81470,CHN,750,1350,100000
parts,Crankarm - left (for Shimano),81620,CHN,750,1500,100000
shifter,Shifter - Altus 9s (no lever),81579,Kent,750,1300,100000
accessories,disc brake Rotor only Cutter Blue,40047,,740,950,100000
misc,Bike Computer - Westbiking Wired,81826,CHN,720,1450,100000
saddles,Saddle - Strace Reef,81060,Kent,720,1150,100000
shifter,Shifter - Shifter w/ lever Acera 8s,81195,Kent,720,1300,100000
Watches,Watch - Sanda,81462,CHN,705,990,100000
accessories,Cycling - Imported Jersey Short,10207,Kent,700,1200,100000
accessories,Aquamundo Boots,40102,CHN,700,950,100000
accessories,Kick stand alloy size 29'-27'-26' Easy Do,40154,,700,1350,100000
accessories,Watch - SKMEI Waterproof,81596,CHN,700,950,100000
brakes,Shimano v-Brake Set,30013,Kent,700,1200,100000
derailleur,Front Derailleur Deore FD-M610-B,16009,Kent,700,1300,100000
forks,Fork 20 Storm,81033,,700,1100,100000
frames,Frame - 20 Storm BMX (Colored),15003,Avenue Bikes,700,1000,100000
handle bar,Handlebar - Catcher Oil Slick 9-Rise,40123,Avenue Bikes,700,990,100000
handle bar,Handle Bar - Carbon Bontrager,81138,CHN,700,1450,100000
misc,Camera - GOPRO,81639,CHN,700,1250,100000
tires,Tire 26 x 1.95 CST Jack Rabbit Small Block,81093,Kent,700,1000,100000
Watches,Watch - SKMEI,81576,CHN,700,990,100000
freewheel,Freewheel 9s Monsoon,10174,,690,1190,100000
accessories,Shifter Lever with Cable 7s with Cable,40097,Kent,680,1200,100000
